Timestep Total_Energy Temperature
147 67705.05743303362 81.38608080805588 
148 67343.08622476461 82.20521209453759 
149 66980.44042090442 83.02637216494995 
150 66617.15187873847 83.84949767028479 
151 66253.25252491572 84.67452512279048 
152 65888.77435285428 85.50139090118533 
153 65523.749420140375 86.33003125588608 
154 65158.209845921934 87.16038231425114 
155 64792.187808295785 87.99238008583815 
156 64425.71554168971 88.82596046767569 
157 64058.825334238965 89.66105924954887 
158 63691.549525157505 90.49761211929842 
159 63323.92050210451 91.33555466813313 
160 62955.97069854558 92.17482239595515 
161 62587.73259110986 93.01535071669822 
162 62219.23869694223 93.85707496367819 
163 61850.52157105147 94.69993039495579 
164 61481.613803654254 95.54385219871143 
165 61112.548017515175 96.38877549863153 
166 60743.35686528329 97.23463535930638 
167 60374.0730268246 98.0813667916392 
